2017/09/20 20:37:58 loading corpus...
2017/09/20 20:37:59 loaded 264 programs (3328 total, 0 deleted)
2017/09/20 21:05:29 executed programs: 1973088, crashes: 0
2017/09/20 21:05:39 executed programs: 1976837, crashes: 0
2017/09/20 21:05:49 executed programs: 1992042, crashes: 0
2017/09/20 21:05:59 executed programs: 2007568, crashes: 0
2017/09/20 21:06:09 executed programs: 2019370, crashes: 0
2017/09/20 21:06:19 executed programs: 2034732, crashes: 0
2017/09/20 21:06:29 executed programs: 2050364, crashes: 0
2017/09/20 21:06:39 executed programs: 2054258, crashes: 0
2017/09/20 21:06:49 executed programs: 2069853, crashes: 0
2017/09/20 21:06:59 executed programs: 2085639, crashes: 0
2017/09/20 21:07:09 executed programs: 2097226, crashes: 0
2017/09/20 21:07:19 executed programs: 2113008, crashes: 0
2017/09/20 21:07:29 executed programs: 2128414, crashes: 0
2017/09/20 21:07:39 executed programs: 2132354, crashes: 0
2017/09/20 21:07:49 executed programs: 2147780, crashes: 0
2017/09/20 21:07:59 executed programs: 2163351, crashes: 0
2017/09/20 21:08:09 executed programs: 2175035, crashes: 0
2017/09/20 21:08:19 executed programs: 2190238, crashes: 0
2017/09/20 21:08:29 executed programs: 2205370, crashes: 0
2017/09/20 21:08:39 executed programs: 2209044, crashes: 0
2017/09/20 21:08:49 executed programs: 2224664, crashes: 0
2017/09/20 21:08:59 executed programs: 2240458, crashes: 0
2017/09/20 21:09:09 executed programs: 2252011, crashes: 0
2017/09/20 21:09:19 executed programs: 2267518, crashes: 0
2017/09/20 21:09:29 executed programs: 2282665, crashes: 0
2017/09/20 21:09:39 executed programs: 2286444, crashes: 0
2017/09/20 21:09:49 executed programs: 2301830, crashes: 0
2017/09/20 21:09:59 executed programs: 2317072, crashes: 0
2017/09/20 21:10:09 executed programs: 2328721, crashes: 0
2017/09/20 21:10:19 executed programs: 2344349, crashes: 0
2017/09/20 21:10:29 executed programs: 2359734, crashes: 0
2017/09/20 21:10:39 executed programs: 2363682, crashes: 0
2017/09/20 21:10:49 executed programs: 2379079, crashes: 0
2017/09/20 21:10:59 executed programs: 2394731, crashes: 0
2017/09/20 21:11:09 executed programs: 2406199, crashes: 0
2017/09/20 21:11:19 executed programs: 2421638, crashes: 0
2017/09/20 21:11:29 executed programs: 2437105, crashes: 0
2017/09/20 21:11:39 executed programs: 2440918, crashes: 0
2017/09/20 21:11:49 executed programs: 2456242, crashes: 0
2017/09/20 21:11:59 executed programs: 2471552, crashes: 0
2017/09/20 21:12:09 executed programs: 2483083, crashes: 0
2017/09/20 21:12:19 executed programs: 2498447, crashes: 0
2017/09/20 21:12:29 executed programs: 2513531, crashes: 0
2017/09/20 21:12:39 executed programs: 2517329, crashes: 0
2017/09/20 21:12:49 executed programs: 2535477, crashes: 0
2017/09/20 21:12:59 executed programs: 2546851, crashes: 0
2017/09/20 21:13:09 executed programs: 2562274, crashes: 0
2017/09/20 21:13:19 executed programs: 2577848, crashes: 0
2017/09/20 21:13:29 executed programs: 2585693, crashes: 0
2017/09/20 21:13:39 executed programs: 2599810, crashes: 0
2017/09/20 21:13:49 executed programs: 2614902, crashes: 0
2017/09/20 21:13:59 executed programs: 2626643, crashes: 0
2017/09/20 21:14:09 executed programs: 2634220, crashes: 0
2017/09/20 21:14:19 executed programs: 2650535, crashes: 0
2017/09/20 21:14:29 executed programs: 2664077, crashes: 0
2017/09/20 21:14:39 executed programs: 2675596, crashes: 0
2017/09/20 21:14:49 executed programs: 2691193, crashes: 0
2017/09/20 21:14:59 executed programs: 2702784, crashes: 0
2017/09/20 21:15:09 executed programs: 2710170, crashes: 0
2017/09/20 21:15:19 executed programs: 2725362, crashes: 0
2017/09/20 21:15:29 executed programs: 2740719, crashes: 0
2017/09/20 21:15:39 executed programs: 2752615, crashes: 0
2017/09/20 21:15:49 executed programs: 2767977, crashes: 0
2017/09/20 21:15:59 executed programs: 2779785, crashes: 0
2017/09/20 21:16:09 executed programs: 2787161, crashes: 0
2017/09/20 21:16:19 executed programs: 2802521, crashes: 0
2017/09/20 21:16:29 executed programs: 2817549, crashes: 0
2017/09/20 21:16:39 executed programs: 2828980, crashes: 0
2017/09/20 21:16:49 executed programs: 2844371, crashes: 0
2017/09/20 21:16:59 executed programs: 2855822, crashes: 0
2017/09/20 21:17:09 executed programs: 2863396, crashes: 0
2017/09/20 21:17:19 executed programs: 2878397, crashes: 0
2017/09/20 21:17:29 executed programs: 2895664, crashes: 0
2017/09/20 21:17:39 executed programs: 2904424, crashes: 0
2017/09/20 21:17:49 executed programs: 2919577, crashes: 0
2017/09/20 21:17:59 executed programs: 2930966, crashes: 0
2017/09/20 21:18:09 executed programs: 2942220, crashes: 0
2017/09/20 21:18:19 executed programs: 2957738, crashes: 0
2017/09/20 21:18:29 executed programs: 2969377, crashes: 0
2017/09/20 21:18:39 executed programs: 2981081, crashes: 0
2017/09/20 21:18:49 executed programs: 2996475, crashes: 0
2017/09/20 21:18:59 executed programs: 3007891, crashes: 0
2017/09/20 21:19:09 executed programs: 3019429, crashes: 0
2017/09/20 21:19:19 executed programs: 3034394, crashes: 0
2017/09/20 21:19:29 executed programs: 3045735, crashes: 0
2017/09/20 21:19:39 executed programs: 3057474, crashes: 0
2017/09/20 21:19:49 executed programs: 3072623, crashes: 0
2017/09/20 21:19:59 executed programs: 3083857, crashes: 0
2017/09/20 21:20:09 executed programs: 3095024, crashes: 0
2017/09/20 21:20:19 executed programs: 3110188, crashes: 0
2017/09/20 21:20:29 executed programs: 3121402, crashes: 0
2017/09/20 21:20:39 executed programs: 3132647, crashes: 0
2017/09/20 21:20:49 executed programs: 3147601, crashes: 0
2017/09/20 21:20:59 executed programs: 3158674, crashes: 0
2017/09/20 21:21:09 executed programs: 3170186, crashes: 0
2017/09/20 21:21:19 executed programs: 3185067, crashes: 0
2017/09/20 21:21:29 executed programs: 3196291, crashes: 0
2017/09/20 21:21:39 executed programs: 3209741, crashes: 0
2017/09/20 21:21:49 executed programs: 3221756, crashes: 0
2017/09/20 21:21:59 executed programs: 3233143, crashes: 0
2017/09/20 21:22:09 executed programs: 3244091, crashes: 0
2017/09/20 21:22:19 executed programs: 3259139, crashes: 0
2017/09/20 21:22:29 executed programs: 3273946, crashes: 0
2017/09/20 21:22:39 executed programs: 3281372, crashes: 0
2017/09/20 21:22:49 executed programs: 3295212, crashes: 0
2017/09/20 21:22:59 executed programs: 3310254, crashes: 0
2017/09/20 21:23:09 executed programs: 3321086, crashes: 0
2017/09/20 21:23:19 executed programs: 3335778, crashes: 0
2017/09/20 21:23:29 executed programs: 3343434, crashes: 0
2017/09/20 21:23:39 executed programs: 3354707, crashes: 0
2017/09/20 21:23:49 executed programs: 3369955, crashes: 0
2017/09/20 21:23:59 executed programs: 3384863, crashes: 0
2017/09/20 21:24:09 executed programs: 3396012, crashes: 0
2017/09/20 21:24:19 executed programs: 3411699, crashes: 0
2017/09/20 21:24:29 executed programs: 3417299, crashes: 0
2017/09/20 21:24:39 executed programs: 3432167, crashes: 0
2017/09/20 21:24:49 executed programs: 3447129, crashes: 0
2017/09/20 21:24:59 executed programs: 3461754, crashes: 0
2017/09/20 21:25:09 executed programs: 3465520, crashes: 0
2017/09/20 21:25:19 executed programs: 3481242, crashes: 0
2017/09/20 21:25:29 executed programs: 3494514, crashes: 0
2017/09/20 21:25:39 executed programs: 3509405, crashes: 0
2017/09/20 21:25:49 executed programs: 3524227, crashes: 0
2017/09/20 21:25:59 executed programs: 3532048, crashes: 0
2017/09/20 21:26:09 executed programs: 3539098, crashes: 0
2017/09/20 21:26:19 executed programs: 3554102, crashes: 0
2017/09/20 21:26:29 executed programs: 3568940, crashes: 0
2017/09/20 21:26:39 executed programs: 3583888, crashes: 0
2017/09/20 21:26:49 executed programs: 3598760, crashes: 0
2017/09/20 21:26:59 executed programs: 3606456, crashes: 0
2017/09/20 21:27:09 executed programs: 3613492, crashes: 0
2017/09/20 21:27:19 executed programs: 3628357, crashes: 0
2017/09/20 21:27:29 executed programs: 3643084, crashes: 0
2017/09/20 21:27:39 executed programs: 3657880, crashes: 0
2017/09/20 21:27:49 executed programs: 3672545, crashes: 0
2017/09/20 21:27:59 executed programs: 3680300, crashes: 0
2017/09/20 21:28:09 executed programs: 3688248, crashes: 0
2017/09/20 21:28:19 executed programs: 3704805, crashes: 0
2017/09/20 21:28:29 executed programs: 3719582, crashes: 0
2017/09/20 21:28:39 executed programs: 3730977, crashes: 0
2017/09/20 21:28:49 executed programs: 3745989, crashes: 0
2017/09/20 21:28:59 executed programs: 3749621, crashes: 0
2017/09/20 21:29:09 executed programs: 3764343, crashes: 0
2017/09/20 21:29:19 executed programs: 3779142, crashes: 0
2017/09/20 21:29:29 executed programs: 3793973, crashes: 0
2017/09/20 21:29:39 executed programs: 3805368, crashes: 0
2017/09/20 21:29:49 executed programs: 3820177, crashes: 0
2017/09/20 21:29:59 executed programs: 3823874, crashes: 0
2017/09/20 21:30:09 executed programs: 3838500, crashes: 0
2017/09/20 21:30:19 executed programs: 3853275, crashes: 0
2017/09/20 21:30:29 executed programs: 3870627, crashes: 0
2017/09/20 21:30:39 executed programs: 3870627, crashes: 0
